Product,Model,GA Date,EOL Date,EOPS Date,EOSL Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include?,GA Updated?,EOL Updated?,EOPS Updated?,EOSL Updated?,Date Red to Black,Longest Proudct Name
CLARiiON CX3,CX3-20C,1-Oct-06,31-Mar-09,31-Mar-14,31-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,12
CLARiiON CX3,CX3-20F,1-Feb-07,31-Mar-09,31-Mar-14,31-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,12
CLARiiON CX3,CX3-20FDC,1-Feb-07,31-Mar-09,31-Mar-14,31-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,12
CLARiiON CX3,CX3-40,1-May-06,31-Mar-07,31-Mar-14,31-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,12
CLARiiON CX3,CX3-40C,1-Oct-06,31-Mar-09,31-Mar-14,31-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,12
CLARiiON CX3,CX3-40F,1-Feb-07,31-Mar-09,31-Mar-14,31-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,12
CLARiiON CX3,CX3-40FDC,1-Feb-07,31-Mar-09,31-Mar-14,31-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,12
CLARiiON CX3,CX3-80,1-May-06,31-Mar-09,31-Mar-14,31-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,12
CLARiiON CX4,CX4-120C,1-Aug-08,31-Dec-11,31-Dec-16,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,12
CLARiiON CX4,CX4-120C8,1-May-09,31-Dec-11,31-Dec-16,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,12
CLARiiON CX4,CX4-120C8DC,1-May-09,31-Dec-11,31-Dec-16,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,12
